x_position (mm), y_radius (mm)
-1.266572487816104200e+02,2.500000000000000000e+01
-2.665724878161041644e+01,2.500000000000000000e+01
-2.665724878161041644e+01,2.500000000000000000e+01
-2.624399903912228638e+01,2.499145758387301086e+01
-2.583145532688709167e+01,2.496584493006669803e+01
-2.542032246891693958e+01,2.492320579737044994e+01
-2.501130287880307534e+01,2.486361303402722456e+01
-2.460509535965407224e+01,2.478716845327354434e+01
-2.420239391020242437e+01,2.469400265939330552e+01
-2.380388653911936458e+01,2.458427482458252911e+01
-2.341025408956357978e+01,2.445817241700634526e+01
-2.302216907597211915e+01,2.431591088051278859e+01
-2.264029453508072010e+01,2.415773326655057218e+01
-2.226528289313671394e+01,2.398390981891978768e+01
-2.189777485123968148e+01,2.379473751206489140e+01
-2.153839829071440448e+01,2.359053954369885275e+01
-2.118776720038614769e+01,2.337166478262528457e+01
-2.084648062759103482e+01,2.313848717270195010e+01
-2.051512165471373805e+01,2.289140509396393597e+01
-2.019425640300100611e+01,2.263084068199806609e+01
-1.988443306535300437e+01,2.235723910673131698e+01
-1.958618096974494094e+01,2.207106781186547551e+01
-1.958618096974494094e+01,2.207106781186547551e+01
-6.788230044198755309e+00,9.273116886319289875e+00
-6.788230044198755309e+00,9.273116886319289875e+00
-6.246541775076093650e+00,8.760054348673163460e+00
-5.704853505953431991e+00,8.302894353357380908e+00
-5.163165236830770333e+00,7.899613519437832743e+00
-4.621476967708108674e+00,7.548188465980417483e+00
-4.079788698585447015e+00,7.246595812051031871e+00
-3.538100429462785357e+00,6.992812176715571759e+00
-2.996412160340123698e+00,6.784814179039934778e+00
-2.454723891217462040e+00,6.620578438090015894e+00
-1.913035622094800381e+00,6.498081572931714511e+00
-1.371347352972138722e+00,6.415300202630923820e+00
-8.296590838494770637e-01,6.370210946253545004e+00
-2.879708147268154050e-01,6.360790422865468585e+00
2.537174543958462536e-01,6.385015251532596636e+00
7.954057235185079122e-01,6.440862051320824122e+00
1.337093992641168683e+00,6.526307441296045120e+00
1.878782261763831229e+00,6.639328040524159924e+00
2.420470530886493776e+00,6.777900468071063500e+00
2.962158800009154547e+00,6.940001343002652590e+00
3.503847069131815761e+00,7.123607284384823046e+00
3.503847069131815761e+00,7.123607284384821270e+00
7.039070935671620788e+00,8.489237195049092577e+00
7.857230149514889739e+00,8.800610918377570258e+00
8.511733952441906226e+00,9.045975282667392037e+00
9.084078349741735892e+00,9.257293408278538749e+00
9.606722585745846033e+00,9.447308406105392464e+00
1.009639629981408504e+01,9.622579698557075290e+00
1.056299238411548203e+01,9.786973190184077964e+00
1.101290213599138568e+01,9.942972607290197828e+00
1.145052214983392247e+01,1.009227281968142798e+01
1.187902354867013166e+01,1.023608306386468492e+01
1.230078057019986204e+01,1.037529605006437450e+01
1.271762573778413419e+01,1.051058872710433789e+01
1.313100993605441502e+01,1.064248553796842423e+01
1.354210717701842093e+01,1.077139984175855858e+01
1.395188561767938751e+01,1.089766200342859648e+01
1.436115714774215135e+01,1.102153901173639028e+01
1.477061290286745887e+01,1.114324852943164146e+01
1.518084926296324078e+01,1.126296917688098098e+01
1.559238725436478035e+01,1.138084820284878873e+01
1.600568727755716836e+01,1.149700730239822377e+01
1.642116045714970340e+01,1.161154709498424609e+01
1.683917750841402494e+01,1.172455061676109267e+01
1.726007574931531963e+01,1.183608607618386266e+01
1.768416470811162000e+01,1.194620905123061583e+01
1.811173065378884317e+01,1.205496425796217963e+01
1.854304029073315974e+01,1.216238698613695846e+01
1.897834379801150462e+01,1.226850427342851546e+01
1.941787734970337098e+01,1.237333587238393484e+01
1.986186522066281412e+01,1.247689505154469813e+01
2.031052155832093220e+01,1.257918926273140769e+01
2.076405188339017016e+01,1.268022069945400787e+01
2.122265436897858848e+01,1.277998676610076245e+01
2.168652093734425534e+01,1.287848047348670377e+01
2.215583820567002959e+01,1.297569077322019737e+01
2.263078830611625136e+01,1.307160284091466451e+01
2.311154960062418340e+01,1.316619831637026294e+01
2.359829730716810658e+01,1.325945550734919287e+01
2.409120405115599084e+01,1.335134956237566861e+01
2.459044035328391331e+01,1.344185261703811562e+01
2.509617506322026159e+01,1.353093391750332763e+01
2.560857574693738670e+01,1.361855992433106977e+01
2.612780903423911028e+01,1.370469439917174093e+01
2.665404093199400037e+01,1.378929847651549423e+01
2.718743710773150113e+01,1.387233072232065467e+01
2.772816314755347378e+01,1.395374718106773493e+01
2.827638479172749086e+01,1.403350141255120676e+01
2.883226815084249850e+01,1.411154451952636713e+01
2.939597990499848734e+01,1.418782516716495756e+01
2.996768748815883754e+01,1.426228959513569627e+01
3.054755925950696849e+01,1.433488162300987412e+01
3.113576466340166249e+01,1.440554264959350661e+01
3.173247437932036163e+01,1.447421164670381444e+01
3.233786046300038919e+01,1.454082514783615210e+01
3.295209647983961787e+01,1.460531723210634070e+01
3.357535763148546692e+01,1.466761950380028878e+01
3.420782087643220848e+01,1.472766106781744888e+01
3.484966504534853726e+01,1.478536850125516189e+01
