x_position (mm), y_radius (mm)
-1.089516377390925689e-01,2.500000000000000139e-02
-3.395163773909258553e-02,2.500000000000000139e-02
-3.395163773909258553e-02,2.500000000000000139e-02
-3.282263944261500782e-02,2.497666211914106524e-02
-3.169557002078846053e-02,2.490668834894222208e-02
-3.057235505281400562e-02,2.479019823841607101e-02
-2.945491353262293110e-02,2.462739080896237526e-02
-2.834515459030785556e-02,2.441854421434332470e-02
-2.724497423040594599e-02,2.416401526546250664e-02
-2.615625209260702758e-02,2.386423882075946329e-02
-2.508084824042062719e-02,2.351972704326133617e-02
-2.402059998328874915e-02,2.313106852556093967e-02
-2.297731873757345375e-02,2.269892728421616865e-02
-2.195278693178242743e-02,2.222404162528886229e-02
-2.094875496131972867e-02,2.170722288296128219e-02
-1.996693819796468289e-02,2.114935403338526546e-02
-1.900901405918787798e-02,2.055138818613228002e-02
-1.807661914231162986e-02,1.991434695582172329e-02
-1.717134642841085593e-02,1.923931871670947133e-02
-1.629474256073167732e-02,1.852745674321870997e-02
-1.544830520227733622e-02,1.777997723958995441e-02
-1.463348047707610164e-02,1.699815726201648128e-02
-1.463348047707610511e-02,1.699815726201647781e-02
-6.632661607529816150e-03,8.997338392470185381e-03
-6.632661607529816150e-03,8.997338392470185381e-03
-6.283574154501931318e-03,8.665727184775474240e-03
-5.934486701474046486e-03,8.365960656079312815e-03
-5.585399248446160786e-03,8.094237581010329044e-03
-5.236311795418275954e-03,7.847619979648680008e-03
-4.887224342390391121e-03,7.623787522982743842e-03
-4.538136889362506289e-03,7.420876199410365685e-03
-4.189049436334620589e-03,7.237368421052632964e-03
-3.839961983306735757e-03,7.072015893520309029e-03
-3.490874530278850925e-03,6.923784116285054170e-03
-3.141787077250965659e-03,6.791811613163088908e-03
-2.792699624223080393e-03,6.675379471531790558e-03
-2.443612171195195561e-03,6.573888276043261120e-03
-2.094524718167310295e-03,6.486840469236788975e-03
-1.745437265139425029e-03,6.413826783666520641e-03
-1.396349812111540630e-03,6.354515796886069101e-03
-1.047262359083655147e-03,6.308645937888286009e-03
-6.981749060557697730e-04,6.276019467598084253e-03
-3.490874530278853744e-04,6.256498095688117246e-03
0.000000000000000000e+00,6.250000000000000347e-03
0.000000000000000000e+00,6.250000000000000347e-03
4.503026747490610458e-03,7.825250708756989471e-03
9.419109246418876785e-03,9.468003412045126327e-03
1.088939855851534660e-02,9.936501483988282105e-03
1.218122363655023931e-02,1.032826817863945895e-02
1.340019699617078959e-02,1.067935552240390461e-02
1.458906880278524471e-02,1.100379194625029922e-02
1.577055748157011467e-02,1.130848035595763239e-02
1.695874920447092843e-02,1.159719208901418934e-02
1.816336372477771188e-02,1.187206619580861121e-02
1.939167905189590965e-02,1.213428554298445414e-02
2.064951358432655024e-02,1.238442002243875413e-02
2.194177394754800309e-02,1.262261570074580015e-02
2.327278227230635682e-02,1.284870533196589074e-02
2.464648285864436128e-02,1.306227557847239144e-02
2.606657892282132280e-02,1.326270889330163558e-02
2.753662686347270114e-02,1.344920978437435383e-02
2.906010370298582612e-02,1.362082100225526018e-02
3.064045704266301143e-02,1.377643294737524761e-02
